date,scenario,ticker,name,bucket,rank,target_weight,close,signal_sco,final_score,trend,mtype
2026-06-14,s3,IJR,IJR,us,1,0.0792,143.6699981689453,13.0,0.885748,,NASDAQ
2026-06-14,s1,XLRE,XLRE,us,2,0.065887,45.36000061035156,15.0,0.871952,,NASDAQ
2026-06-14,s3,XLRE,XLRE,us,2,0.0648,45.36000061035156,15.0,0.871952,,NASDAQ
2026-06-14,s1,VNQ,VNQ,us,3,0.044738,98.51000213623047,14.5,0.861337,,NASDAQ
2026-06-14,s3,VNQ,VNQ,us,3,0.048,98.51000213623047,14.5,0.861337,,NASDAQ
2026-06-14,s1,VTV,VTV,us,4,0.020336,217.08999633789062,13.0,0.845494,,NASDAQ
2026-06-14,s3,VTV,VTV,us,4,0.024,217.08999633789062,13.0,0.845494,,NASDAQ
2026-06-14,s1,RSP,RSP,us,5,0.020336,211.64999389648438,11.0,0.802715,,NASDAQ
2026-06-14,s3,RSP,RSP,us,5,0.024,211.64999389648438,11.0,0.802715,,NASDAQ
2026-06-15,s1,IJR,IJR,us,1,0.270946,143.6699981689453,13.0,0.847387,,NASDAQ
2026-06-15,s3,IJR,IJR,us,1,0.0825,143.6699981689453,13.0,0.847387,,NASDAQ
2026-06-15,s1,XLRE,XLRE,us,2,0.23335,45.36000061035156,15.0,0.836095,,NASDAQ
2026-06-15,s3,XLRE,XLRE,us,2,0.0675,45.36000061035156,15.0,0.836095,,NASDAQ
2026-06-15,s1,VNQ,VNQ,us,3,0.172852,98.51000213623047,14.5,0.825342,,NASDAQ
2026-06-15,s3,VNQ,VNQ,us,3,0.05,98.51000213623047,14.5,0.825342,,NASDAQ
2026-06-15,s1,VTV,VTV,us,4,0.086426,217.08999633789062,13.0,0.808015,,NASDAQ
2026-06-15,s3,VTV,VTV,us,4,0.025,217.08999633789062,13.0,0.808015,,NASDAQ
2026-06-15,s1,RSP,RSP,us,5,0.086426,211.64999389648438,11.0,0.764654,,NASDAQ
2026-06-15,s3,RSP,RSP,us,5,0.025,211.64999389648438,11.0,0.764654,,NASDAQ
2026-06-16,s1,241180,니케이,us,3,0.186813,39475.0,11.5,0.887023,,NASDAQ
2026-06-16,s3,241180,니케이,us,3,0.05,39475.0,11.5,0.887023,,NASDAQ
2026-06-16,s1,091160,반도체,kr,1,0.250842,171815.0,13.0,0.94,,KOSPI
2026-06-16,s3,091160,반도체,kr,1,0.1485,171815.0,13.0,0.94,,KOSPI
2026-06-16,s1,446770,톱반도,us,2,0.241452,95560.0,11.0,0.89756,,NASDAQ
2026-06-16,s3,446770,톱반도,us,2,0.0675,95560.0,11.0,0.89756,,NASDAQ
2026-06-16,s1,JETS,JETS,us,3,0.178853,30.979999542236328,12.75,0.879513,,NASDAQ
2026-06-16,s3,JETS,JETS,us,3,0.05,30.979999542236328,12.75,0.879513,,NASDAQ
2026-06-16,s1,IJR,IJR,us,4,0.089427,143.6300048828125,16.0,0.830196,,NASDAQ
2026-06-16,s3,IJR,IJR,us,4,0.025,143.6300048828125,16.0,0.830196,,NASDAQ
2026-06-16,s1,VTV,VTV,us,5,0.089427,219.10989379882812,13.0,0.742152,,NASDAQ
2026-06-16,s3,VTV,VTV,us,5,0.025,219.10989379882812,13.0,0.742152,,NASDAQ
2026-06-17,s1,VIG,VIG,us,6,0.076233,236.80999755859375,14.0,0.767666,,NASDAQ
2026-06-17,s3,VIG,VIG,us,6,0.06,236.80999755859375,14.0,0.767666,,NASDAQ
2026-06-17,s1,091160,반도체,kr,1,0.238145,175955.0,15.5,0.99,,KOSPI
2026-06-17,s3,091160,반도체,kr,1,0.2325,175955.0,15.5,0.99,,KOSPI
2026-06-17,s1,446770,톱반도,us,2,0.225944,96905.0,14.0,0.96,,NASDAQ
2026-06-17,s3,446770,톱반도,us,2,0.1875,96905.0,14.0,0.96,,NASDAQ
2026-06-17,s1,SOXX,SOXX,us,3,0.137374,603.219970703125,13.0,0.94,,NASDAQ
2026-06-17,s3,SOXX,SOXX,us,3,0.12,603.219970703125,13.0,0.94,,NASDAQ
2026-06-17,s1,495050,밸류업,kr,4,0.085859,41235.0,13.0,0.926274,,KOSPI
2026-06-17,s3,495050,밸류업,kr,4,0.075,41235.0,13.0,0.926274,,KOSPI
2026-06-17,s1,IJR,IJR,us,5,0.090377,143.22000122070312,16.0,0.799772,,NASDAQ
2026-06-17,s3,IJR,IJR,us,5,0.075,143.22000122070312,16.0,0.799772,,NASDAQ
2026-06-17,s1,VTV,VTV,us,6,0.072302,218.25,16.0,0.764434,,NASDAQ
2026-06-17,s3,VTV,VTV,us,6,0.06,218.25,16.0,0.764434,,NASDAQ
2026-06-18,s1,091160,반도체,kr,1,0.254266,182500.0,16.0,1.0,,KOSPI
2026-06-18,s3,091160,반도체,kr,1,0.2418,182500.0,16.0,1.0,,KOSPI
2026-06-18,s1,446770,톱반도,us,2,0.060945,100090.0,15.5,0.99,,NASDAQ
2026-06-18,s3,446770,톱반도,us,2,0.0375,100090.0,15.5,0.99,,NASDAQ
2026-06-18,s1,069500,코스피,kr,3,0.138141,146945.0,14.0,0.96,,KOSPI
2026-06-18,s3,069500,코스피,kr,3,0.1248,146945.0,14.0,0.96,,KOSPI
2026-06-18,s1,495050,밸류업,kr,4,0.086338,41890.0,14.0,0.96,,KOSPI
2026-06-18,s3,495050,밸류업,kr,4,0.078,41890.0,14.0,0.96,,KOSPI
2026-06-18,s1,SOXX,SOXX,us,5,0.020315,599.72998046875,12.0,0.92,,NASDAQ
2026-06-18,s3,SOXX,SOXX,us,5,0.015,599.72998046875,12.0,0.92,,NASDAQ
2026-06-18,s1,IJR,IJR,us,6,0.016252,140.6699981689453,14.5,0.745031,,NASDAQ
2026-06-18,s3,IJR,IJR,us,6,0.012,140.6699981689453,14.5,0.745031,,NASDAQ
2026-06-19,s1,SOXX,SOXX,us,5,0.08126,639.4500122070312,12.5,0.93,,NASDAQ
2026-06-19,s3,SOXX,SOXX,us,5,0.018,639.4500122070312,12.5,0.93,,NASDAQ
2026-06-19,s1,091160,반도체,kr,1,0.248065,181015.0,16.0,1.0,,KOSPI
2026-06-19,s3,091160,반도체,kr,1,0.2511,181015.0,16.0,1.0,,KOSPI
2026-06-19,s1,446770,톱반도,us,2,0.209205,102210.0,16.0,1.0,,NASDAQ
2026-06-19,s3,446770,톱반도,us,2,0.045,102210.0,16.0,1.0,,NASDAQ
2026-06-19,s1,069500,코스피,kr,3,0.135146,146910.0,14.5,0.97,,KOSPI
2026-06-19,s3,069500,코스피,kr,3,0.1296,146910.0,14.5,0.97,,KOSPI
2026-06-19,s1,495050,밸류업,kr,4,0.084467,41945.0,14.5,0.97,,KOSPI
2026-06-19,s3,495050,밸류업,kr,4,0.081,41945.0,14.5,0.97,,KOSPI
2026-06-19,s1,IJR,IJR,us,5,0.083682,143.2100067138672,14.0,0.722812,,NASDAQ
2026-06-19,s3,IJR,IJR,us,5,0.018,143.2100067138672,14.0,0.722812,,NASDAQ
2026-06-19,s1,VTV,VTV,us,6,0.066946,216.5,13.0,0.669682,,NASDAQ
2026-06-19,s3,VTV,VTV,us,6,0.0144,216.5,13.0,0.669682,,NASDAQ
2026-06-20,s1,091160,반도체,kr,1,0.248065,181015.0,16.0,1.0,,KOSPI
2026-06-20,s3,091160,반도체,kr,1,0.2511,181015.0,16.0,1.0,,KOSPI
2026-06-20,s1,446770,톱반도,us,2,0.209205,102210.0,16.0,1.0,,NASDAQ
2026-06-20,s3,446770,톱반도,us,2,0.0525,102210.0,16.0,1.0,,NASDAQ
2026-06-20,s1,069500,코스피,kr,3,0.135146,146910.0,14.5,0.97,,KOSPI
2026-06-20,s3,069500,코스피,kr,3,0.1296,146910.0,14.5,0.97,,KOSPI
2026-06-20,s1,495050,밸류업,kr,4,0.084467,41945.0,14.5,0.97,,KOSPI
2026-06-20,s3,495050,밸류업,kr,4,0.081,41945.0,14.5,0.97,,KOSPI
2026-06-20,s1,IJR,IJR,us,5,0.083682,143.2100067138672,14.0,0.722812,,NASDAQ
2026-06-20,s3,IJR,IJR,us,5,0.021,143.2100067138672,14.0,0.722812,,NASDAQ
2026-06-20,s1,VTV,VTV,us,6,0.066946,216.5,13.0,0.669682,,NASDAQ
2026-06-20,s3,VTV,VTV,us,6,0.0168,216.5,13.0,0.669682,,NASDAQ
2026-06-21,s1,091160,반도체,kr,1,0.248065,181015.0,16.0,1.0,,KOSPI
2026-06-21,s3,091160,반도체,kr,1,0.2511,181015.0,16.0,1.0,,KOSPI
2026-06-21,s1,446770,톱반도,us,2,0.209205,102210.0,16.0,1.0,,NASDAQ
2026-06-21,s3,446770,톱반도,us,2,0.1875,102210.0,16.0,1.0,,NASDAQ
2026-06-21,s1,069500,코스피,kr,3,0.135146,146910.0,14.5,0.97,,KOSPI
2026-06-21,s3,069500,코스피,kr,3,0.1296,146910.0,14.5,0.97,,KOSPI
2026-06-21,s1,495050,밸류업,kr,4,0.084467,41945.0,14.5,0.97,,KOSPI
2026-06-21,s3,495050,밸류업,kr,4,0.081,41945.0,14.5,0.97,,KOSPI
2026-06-21,s1,IJR,IJR,us,5,0.083682,143.2100067138672,14.0,0.722812,,NASDAQ
2026-06-21,s3,IJR,IJR,us,5,0.075,143.2100067138672,14.0,0.722812,,NASDAQ
2026-06-21,s1,VTV,VTV,us,6,0.066946,216.5,13.0,0.669682,,NASDAQ
2026-06-21,s3,VTV,VTV,us,6,0.06,216.5,13.0,0.669682,,NASDAQ
2026-06-22,s1,091160,반도체,kr,1,0.371739,186060.0,16.0,1.0,,KOSPI
2026-06-22,s3,091160,반도체,kr,1,0.378,186060.0,16.0,1.0,,KOSPI
2026-06-22,s1,446770,톱반도,us,2,0.26087,104410.0,16.0,1.0,,NASDAQ
2026-06-22,s3,446770,톱반도,us,2,0.234,104410.0,16.0,1.0,,NASDAQ
2026-06-22,s1,069500,코스피,kr,3,0.217391,147605.0,16.0,1.0,,KOSPI
2026-06-22,s3,069500,코스피,kr,3,0.21,147605.0,16.0,1.0,,KOSPI
2026-06-23,s1,069500,코스피,kr,2,0.243038,141100.0,15.0,0.98,,KOSPI
2026-06-23,s3,069500,코스피,kr,2,0.261,141100.0,15.0,0.98,,KOSPI
2026-06-23,s1,446770,톱반도,us,1,0.176455,99520.0,15.0,0.97963,,NASDAQ
2026-06-23,s3,446770,톱반도,us,1,0.2511,99520.0,15.0,0.97963,,NASDAQ
2026-06-23,s1,SMH,SMH,us,2,0.142303,668.9099731445312,14.0,0.959259,,NASDAQ
2026-06-23,s3,SMH,SMH,us,2,0.2025,668.9099731445312,14.0,0.959259,,NASDAQ
2026-06-23,s1,MTUM,MTUM,us,3,0.099353,345.2200012207031,15.0,0.952301,,NASDAQ
2026-06-23,s3,MTUM,MTUM,us,3,0.1296,345.2200012207031,15.0,0.952301,,NASDAQ
2026-06-23,s1,091160,반도체,kr,4,0.041785,166780.0,14.0,0.913879,,KOSPI
2026-06-23,s3,091160,반도체,kr,4,0.087,166780.0,14.0,0.913879,,KOSPI
2026-06-23,s1,495050,밸류업,kr,5,0.035395,38830.0,13.5,0.888409,,KOSPI
2026-06-23,s3,495050,밸류업,kr,5,0.087,38830.0,13.5,0.888409,,KOSPI
2026-06-23,s1,IJR,IJR,us,6,0.045537,143.25999450683594,14.0,0.819551,,NASDAQ
2026-06-23,s3,IJR,IJR,us,6,0.0648,143.25999450683594,14.0,0.819551,,NASDAQ
2026-06-24,s1,495050,밸류업,kr,5,0.036,39190.0,11.0,0.85764,,KOSPI
2026-06-24,s3,495050,밸류업,kr,5,0.035,39190.0,11.0,0.85764,,KOSPI
2026-06-24,s1,VTV,VTV,us,6,0.042105,217.43,13.5,0.810424,,NASDAQ
2026-06-24,s3,VTV,VTV,us,6,0.028,217.43,13.5,0.810424,,NASDAQ
2026-06-24,s1,446770,톱반도,us,1,0.159588,98325.0,14.0,0.960714,,NASDAQ
