date,Worst,Neutral,Recovery,HotVeryHot,total_universe,avg_sco,avg_3m,Other,Worst_pct,Neutral_pct,Recovery_pct,HotVeryHot_pct,Other_pct,cell_<0__<0%,cell_<0__0~15%,cell_<0__15~30%,cell_<0__30%+,cell_0~7__<0%,cell_0~7__0~15%,cell_0~7__15~30%,cell_0~7__30%+,cell_8~10__<0%,cell_8~10__0~15%,cell_8~10__15~30%,cell_8~10__30%+,cell_11+__<0%,cell_11+__0~15%,cell_11+__15~30%,cell_11+__30%+,QQQ_close,SPY_close,sco_strong,sco_mid,sco_weak,sco_neg,regime_raw_avg,regime_map_score,strong_zone_cnt,risk_zone_cnt,worst_zone_cnt,regime_state
2026-03-31,47,17,5,1,134,-2.12,4.21,64,35.07,12.69,3.73,0.75,47.76,,,,,,,,,,,,,,,,,577.18,,2.0,1.0,29.0,102.0,0.0,0.0,0.0,0.0,0.0,
2026-04-01,39,29,6,1,134,-1.35,6.68,59,29.1,21.64,4.48,0.75,44.03,,,,,,,,,,,,,,,,,584.31,,0.0,4.0,46.0,84.0,0.0,0.0,0.0,0.0,0.0,
2026-04-02,32,45,2,1,134,-0.32,6.11,54,23.88,33.58,1.49,0.75,40.3,,,,,,,,,,,,,,,,,584.98,,0.0,6.0,60.0,68.0,0.0,0.0,0.0,0.0,0.0,
2026-04-03,53,33,2,1,138,-1.27,2.52,49,38.41,23.91,1.45,0.72,35.51,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,
2026-04-04,53,33,2,1,138,-1.27,2.52,49,38.41,23.91,1.45,0.72,35.51,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,
2026-04-05,53,33,2,1,138,-1.27,2.52,49,38.41,23.91,1.45,0.72,35.51,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,
2026-04-06,28,49,10,0,134,1.7,5.84,47,20.9,36.57,7.46,0.0,35.07,,,,,,,,,,,,,,,,,588.5,,4.0,7.0,86.0,37.0,0.0,0.0,0.0,0.0,0.0,
2026-04-07,41,39,10,4,138,1.39,2.99,44,29.71,28.26,7.25,2.9,31.88,,,,,,,,,,,,,,,,,588.5,,9.0,8.0,72.0,49.0,0.0,0.0,0.0,0.0,0.0,
2026-04-08,35,38,5,2,138,2.86,4.81,58,25.36,27.54,3.62,1.45,42.03,,,,,,,,,,,,,,,,,588.59,,11.0,13.0,72.0,42.0,0.0,0.0,0.0,0.0,0.0,
2026-04-09,21,34,2,6,138,4.75,6.17,75,15.22,24.64,1.45,4.35,54.35,,,,,,,,,,,,,,,,,606.09,,17.0,33.0,63.0,25.0,0.0,0.0,0.0,0.0,0.0,
2026-04-10,20,18,2,8,138,6.22,5.46,90,14.49,13.04,1.45,5.8,65.22,,,,,,,,,,,,,,,,,610.19,,27.0,40.0,48.0,23.0,0.0,0.0,0.0,0.0,0.0,
2026-04-11,19,10,3,8,138,6.6,5.43,98,13.77,7.25,2.17,5.8,71.01,,,,,,,,,,,,,,,,,611.07,,29.0,44.0,44.0,21.0,0.0,0.0,0.0,0.0,0.0,
2026-04-12,19,10,3,8,138,6.6,5.43,98,13.77,7.25,2.17,5.8,71.01,,,,,,,,,,,,,,,,,611.07,,29.0,44.0,44.0,21.0,0.0,0.0,0.0,0.0,0.0,
2026-04-13,11,7,2,7,138,7.89,4.31,111,7.97,5.07,1.45,5.07,80.43,,,,,,,,,,,,,,,,,611.07,,66.0,16.0,43.0,13.0,0.0,0.0,0.0,0.0,0.0,
2026-04-14,8,7,2,7,138,8.54,5.58,114,5.8,5.07,1.45,5.07,82.61,,,,,,,,,,,,,,,,,617.39,,70.0,17.0,40.0,11.0,0.0,0.0,0.0,0.0,0.0,
2026-04-15,4,8,2,9,138,9.66,6.42,115,2.9,5.8,1.45,6.52,83.33,,,,,,,,,,,,,,,,,628.6,,84.0,9.0,38.0,7.0,0.0,0.0,0.0,0.0,0.0,
2026-04-16,5,13,2,10,138,10.3,7.8,108,3.62,9.42,1.45,7.25,78.26,,,,,,,,,,,,,,,,,637.4,,89.0,10.0,33.0,6.0,0.0,0.0,0.0,0.0,0.0,
2026-04-17,5,8,2,9,138,10.68,7.53,114,3.62,5.8,1.45,6.52,82.61,,,,,,,,,,,,,,,,,640.47,,92.0,10.0,29.0,7.0,0.0,0.0,0.0,0.0,0.0,
2026-04-18,4,8,2,9,138,10.64,7.38,115,2.9,5.8,1.45,6.52,83.33,,,,,,,,,,,,,,,,,648.85,,92.0,9.0,31.0,6.0,0.0,0.0,0.0,0.0,0.0,
2026-04-19,4,8,2,9,138,10.64,7.38,115,2.9,5.8,1.45,6.52,83.33,,,,,,,,,,,,,,,,,648.85,,92.0,9.0,31.0,6.0,0.0,0.0,0.0,0.0,0.0,
2026-04-20,3,8,1,9,138,10.77,7.37,117,2.17,5.8,0.72,6.52,84.78,,,,,,,,,,,,,,,,,648.85,,92.0,10.0,31.0,5.0,0.0,0.0,0.0,0.0,0.0,
2026-04-21,3,8,1,10,138,10.88,7.4,116,2.17,5.8,0.72,7.25,84.06,,,,,,,,,,,,,,,,,646.79,,92.0,10.0,32.0,4.0,0.0,0.0,0.0,0.0,0.0,
2026-04-22,5,3,1,11,138,10.33,5.63,118,3.62,2.17,0.72,7.97,85.51,,,,,,,,,,,,,,,,,644.33,,82.0,19.0,31.0,6.0,0.0,0.0,0.0,0.0,0.0,
2026-04-23,7,4,1,12,138,9.69,5.73,114,5.07,2.9,0.72,8.7,82.61,,,,,,,,,,,,,,,,,655.11,,67.0,29.0,33.0,9.0,0.0,0.0,0.0,0.0,0.0,
2026-04-25,20,14,0,10,138,7.8,5.31,94,14.49,10.14,0.0,7.25,68.12,,,,,,,,,,,,,,,,,663.88,,56.0,21.0,41.0,20.0,0.0,0.0,0.0,0.0,0.0,
2026-04-26,20,14,0,10,138,7.8,5.31,94,14.49,10.14,0.0,7.25,68.12,,,,,,,,,,,,,,,,,663.88,,56.0,21.0,41.0,20.0,0.0,0.0,0.0,0.0,0.0,
2026-04-28,22,10,0,10,138,7.44,5.29,96,15.94,7.25,0.0,7.25,69.57,,,,,,,,,,,,,,,,,664.23,,53.0,23.0,40.0,22.0,0.0,0.0,0.0,0.0,0.0,
2026-04-29,26,21,0,9,138,6.58,5.11,82,18.84,15.22,0.0,6.52,59.42,,,,,,,,,,,,,,,,,657.55,,53.0,19.0,40.0,26.0,0.0,0.0,0.0,0.0,0.0,
2026-04-30,33,18,3,8,138,5.56,4.84,76,23.91,13.04,2.17,5.8,55.07,,,,,,,,,,,,,,,,,661.57,,45.0,19.0,41.0,33.0,0.0,0.0,0.0,0.0,0.0,
2026-05-01,31,25,3,9,138,5.79,5.89,70,22.46,18.12,2.17,6.52,50.72,,,,,,,,,,,,,,,,,667.74,,47.0,19.0,40.0,32.0,0.0,0.0,0.0,0.0,0.0,
2026-05-02,28,22,2,12,138,6.07,6.47,74,20.29,15.94,1.45,8.7,53.62,,,,,,,,,,,,,,,,,674.15,,52.0,15.0,41.0,30.0,0.0,0.0,0.0,0.0,0.0,
2026-05-05,30,22,7,19,138,6.14,9.6,60,21.74,15.94,5.07,13.77,43.48,,,,,,,,,,,,,,,,,672.88,,51.0,17.0,39.0,31.0,0.0,0.0,0.0,0.0,0.0,
2026-05-06,29,12,0,18,138,7.79,7.88,79,21.01,8.7,0.0,13.04,57.25,,,,,,,,,,,,,,,,,681.61,,58.0,26.0,25.0,29.0,0.0,0.0,0.0,0.0,0.0,
2026-05-08,25,12,0,18,138,8.32,8.06,83,18.12,8.7,0.0,13.04,60.14,,,,,,,,,,,,,,,,,694.94,,65.0,18.0,30.0,25.0,0.0,0.0,0.0,0.0,0.0,
2026-05-09,21,7,1,18,138,9.27,8.78,91,15.22,5.07,0.72,13.04,65.94,,,,,,,,,,,,,,,,,711.23,,74.0,19.0,23.0,22.0,0.0,0.0,0.0,0.0,0.0,
2026-05-12,16,5,3,22,138,9.38,11.04,92,11.59,3.62,2.17,15.94,66.67,,,,,,,,,,,,,,,,,713.29,,76.0,22.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,
2026-05-14,18,6,4,16,138,8.09,8.77,94,13.04,4.35,2.9,11.59,68.12,,,,,,,,,,,,,,,,,714.71,,68.0,18.0,32.0,20.0,0.0,0.0,0.0,0.0,0.0,
2026-05-15,22,9,4,15,138,7.54,8.39,88,15.94,6.52,2.9,10.87,63.77,,,,,,,,,,,,,,,,,719.79,,61.0,20.0,33.0,24.0,0.0,0.0,0.0,0.0,0.0,
2026-05-16,28,21,2,12,138,5.47,5.39,75,20.29,15.22,1.45,8.7,54.35,,,,,,,,,,,,,,,,,708.93,,47.0,13.0,46.0,32.0,0.0,0.0,0.0,0.0,0.0,
2026-05-19,38,17,1,8,138,3.47,2.95,74,27.54,12.32,0.72,5.8,53.62,,,,,,,,,,,,,,,,,705.88,,28.0,24.0,41.0,45.0,0.0,0.0,0.0,0.0,0.0,
