date,account,total_asset,kr_total_asset,kr_stock_eval,kr_cash,us_stock_krw,usd_cash_krw,fx_other_krw,us_aset_evlt_raw,kr_realized_pl,us_realized_pl_krw,usdkrw,ext_flow,ext_flow_auto,cash_in,cash_out,sec_in,sec_out,flow_src,note,src_updated
2026-08-25,1943,19662260,9525267,8859765,2519307,2930289,7206704,0,12648893,0,0,1381,,0,0,0,0,0,kt00016,,2026-08-25 15:45:39
2026-08-25,2773,6489059,1327049,0,1327049,1350036,3811974,0,6485646,0,0,1381,,0,0,0,0,0,kt00016,,2026-08-25 15:45:32
2026-08-25,8042,44962292,19577650,9134250,16276076,10027359,9168800,6188483,41635364,0,0,1381,,0,0,0,0,0,kt00016,,2026-08-25 15:45:26
2026-08-25,8458,19667639,9544121,8859765,2234406,2930289,7193229,0,12350517,0,0,1381,,0,0,0,0,0,kt00016,,2026-08-25 15:45:36
2026-08-25,BINANCE,2470492,0,2470492,0,0,0,0,0,0,0,1376,,,,,,,,,2026-08-25 07:59:37
2026-08-25,UPBIT,4226343,0,3966897,259445,0,0,0,0,0,0,1376,,,,,,,,,2026-08-25 07:59:37
2026-08-26,1887,36798023,8726859,0,7815212,22048960,6022204,0,35858525,0,0,1383,,0,0,0,0,0,kt00016,,2026-08-26 13:10:54
2026-08-26,1943,19836573,9639782,8974290,666822,2977037,7219754,0,10859853,0,0,1383,,0,0,0,0,0,kt00016,,2026-08-26 13:11:14
2026-08-26,2773,14514143,9327049,0,9327049,1368217,3818877,0,14512414,0,0,1383,,8000000,8000000,0,0,0,kt00016,,2026-08-26 13:11:03
2026-08-26,8042,37337462,11751853,8792125,2699846,10185957,9185402,6214250,28272585,0,0,1383,,-8000000,0,8000000,0,0,kt00016,,2026-08-26 13:10:58
2026-08-26,8458,19847348,9664056,8974290,685676,2977037,7206255,0,10865208,0,0,1383,,0,0,0,0,0,kt00016,,2026-08-26 13:11:07
