date,ticker,industry,rank,close,sco,trend,위치,raw_mult,floor_mult,base_w,internal_w,alloc_pct,alloc_amount,atr_excluded,vol63,atr_stage_val,k_mult,kospi_trend,last_trend
2022-11-28,195930,유로스,1,13688.0,15.25,GREEN,1,0.6,0.6,0.45,0.455696,0.273418,27341772,False,26.3114,0,0.2,-,-
2022-11-28,241180,니케이,2,15660.0,15.0,GREEN,1,0.6,0.6,0.3,0.303797,0.182278,18227848,False,21.1794,0,0.2,-,-
2022-11-28,117680,철강주,3,7664.0,12.0,LIME,1,0.4,0.4,0.25,0.240506,0.096203,9620253,False,30.3434,0,0.2,-,-
2022-11-29,195930,유로스,1,13673.0,14.5,GREEN,2,0.5,0.5,0.45,0.494505,0.247253,24725274,False,26.3101,0,0.2,-,-
2022-11-29,117680,철강주,2,7701.0,12.0,LIME,1,0.4,0.4,0.3,0.313187,0.125275,12527472,False,30.318,0,0.2,-,-
2022-11-29,241180,니케이,3,15299.0,13.0,GREEN,3,0.45,0.45,0.25,0.192308,0.086538,8653846,False,21.6716,3,0.2,-,-
2022-11-30,195930,유로스,1,13693.0,14.5,GREEN,1,0.55,0.55,0.45,0.494505,0.271978,27197802,False,25.0842,0,0.3,-,-
2022-11-30,117680,철강주,2,7787.0,13.0,LIME,1,0.5,0.5,0.3,0.313187,0.156593,15659340,False,30.3824,0,0.3,-,-
2022-11-30,241180,니케이,3,15318.0,11.0,GREEN,3,0.3,0.3,0.25,0.192308,0.057692,5769230,False,20.9694,3,0.3,-,-
2022-12-01,195930,유로스,1,13963.0,14.75,GREEN,1,0.55,0.55,0.55,0.55,0.3025,30250000,False,25.3125,0,0.4,-,-
2022-12-01,117680,철강주,2,7833.0,13.0,LIME,1,0.5,0.5,0.45,0.45,0.225,22500000,False,30.2416,0,0.4,-,-
2022-12-02,195930,유로스,1,13828.0,14.75,-,1,0.55,0.55,0.35,0.35,0.1925,19250000,False,25.4185,0,0.3,-,-
2022-12-02,091170,은행주,2,5465.0,12.0,-,1,0.4,0.4,0.3,0.3,0.12,11999999,False,27.1138,0,0.3,-,-
2022-12-02,102970,증권주,3,5329.0,12.0,GREEN,1,0.4,0.4,0.25,0.25,0.1,10000000,False,29.869,0,0.3,-,-
2022-12-02,117680,철강주,4,7669.0,11.0,-,3,0.3,0.3,0.1,0.1,0.03,3000000,False,29.9618,0,0.3,-,-
2022-12-05,195930,유로스,1,13823.0,15.75,-,1,0.6,0.6,0.45,0.455696,0.273418,27341772,False,24.738,0,0.2,-,-
2022-12-05,091170,은행주,2,5491.0,12.0,-,1,0.4,0.4,0.3,0.303797,0.121519,12151898,False,26.097,0,0.2,-,-
2022-12-05,102970,증권주,3,5285.0,11.25,GREEN,2,0.3,0.3,0.25,0.240506,0.072152,7215189,False,29.5051,0,0.2,-,-
2022-12-06,195930,유로스,1,13748.0,14.25,-,3,0.0,0.0,0.45,0.467532,0.0,0,False,24.7738,0,0.0,RED,-
2022-12-06,091170,은행주,2,5465.0,11.25,-,2,0.0,0.0,0.3,0.311688,0.0,0,False,26.0538,0,0.0,RED,-
2022-12-06,228790,화장품,3,2152.0,11.25,GREEN,1,0.0,0.0,0.25,0.220779,0.0,0,False,37.0279,0,0.0,RED,-
2022-12-07,195930,유로스,1,13698.0,12.5,-,3,0.0,0.0,0.55,0.55,0.0,0,False,24.7192,1,0.0,RED,RED
2022-12-07,228790,화장품,2,2190.0,12.0,GREEN,1,0.0,0.0,0.45,0.45,0.0,0,False,36.9873,0,0.0,RED,RED
