date,ticker,industry,rank,close,sco,trend,위치,mtype,raw_mult,base_w,alloc_pct,k_mult,us_mult,kospi_trend,nasdaq_trend
2023-07-27,GREK,GREK,5,35.37699508666992,13.75,-,3,NASDAQ,0.45,0.1,0.045,1.0,0.4,LIME,-
2023-07-27,305720,이차전,6,31354.0,14.0,-,3,KOSPI,1.0,0.08,0.08,1.0,0.4,LIME,-
2023-07-28,VNM,VNM,1,14.021963119506836,15.0,LIME,1,NASDAQ,0.6,0.31,0.186,1.0,0.4,LIME,-
2023-07-28,117680,철강주,2,9521.0,14.75,LIME,1,KOSPI,1.0,0.25,0.25,1.0,0.4,LIME,-
2023-07-28,EWZ,EWZ,3,28.29879379272461,14.0,LIME,2,NASDAQ,0.5,0.16,0.08,1.0,0.4,LIME,-
2023-07-28,XLB,XLB,4,40.39690399169922,15.5,LIME,1,NASDAQ,0.6,0.1,0.06,1.0,0.4,LIME,-
2023-07-28,449180,에센피,5,10698.0,14.75,GREEN,2,NASDAQ,0.5,0.1,0.05,1.0,0.4,LIME,-
2023-07-28,325020,케모멘,6,11654.0,14.75,LIME,1,KOSPI,1.0,0.08,0.08,1.0,0.4,LIME,-
2023-07-31,VNM,VNM,1,14.24919319152832,15.0,LIME,1,NASDAQ,0.6,0.31,0.186,1.0,0.4,LIME,-
2023-07-31,XLB,XLB,2,40.61009216308594,15.75,LIME,1,NASDAQ,0.6,0.25,0.15,1.0,0.4,LIME,-
2023-07-31,EWZ,EWZ,3,28.705602645874023,13.75,LIME,1,NASDAQ,0.5,0.16,0.08,1.0,0.4,LIME,-
2023-07-31,117680,철강주,4,9834.0,14.5,LIME,1,KOSPI,1.0,0.1,0.1,1.0,0.4,LIME,-
2023-07-31,VOO,VOO,5,405.6557922363281,14.5,LIME,1,NASDAQ,0.55,0.1,0.055,1.0,0.4,LIME,-
2023-07-31,449180,에센피,6,10771.0,15.0,GREEN,1,NASDAQ,0.6,0.08,0.048,1.0,0.4,LIME,-
2023-08-01,091160,반도체,1,34902.0,15.0,LIME,1,KOSPI,1.0,0.31,0.31,1.0,0.4,LIME,-
2023-08-01,VNM,VNM,2,14.012494087219238,15.0,LIME,1,NASDAQ,0.6,0.25,0.15,1.0,0.4,LIME,-
2023-08-01,325020,케모멘,3,11850.0,15.75,LIME,1,KOSPI,1.0,0.16,0.16,1.0,0.4,LIME,-
2023-08-01,SOXX,SOXX,4,175.10337829589844,13.75,LIME,1,NASDAQ,0.5,0.1,0.05,1.0,0.4,LIME,-
2023-08-01,SMH,SMH,5,158.37127685546875,13.75,LIME,1,NASDAQ,0.5,0.1,0.05,1.0,0.4,LIME,-
2023-08-01,449180,에센피,6,10798.0,15.0,GREEN,1,NASDAQ,0.6,0.08,0.048,1.0,0.4,LIME,-
2023-08-02,VNM,VNM,1,13.842071533203123,15.0,-,2,NASDAQ,0.55,0.31,0.1705,1.0,0.4,LIME,-
2023-08-02,TUR,TUR,2,32.13774108886719,14.0,LIME,1,NASDAQ,0.55,0.25,0.1375,1.0,0.4,LIME,-
2023-08-02,XLC,XLC,3,65.33970642089844,13.75,-,2,NASDAQ,0.45,0.16,0.072,1.0,0.4,LIME,-
2023-08-02,371160,항셈테,4,6241.0,14.0,LIME,2,NASDAQ,0.5,0.1,0.05,1.0,0.4,LIME,-
2023-08-02,091160,반도체,5,33342.0,13.0,LIME,3,KOSPI,1.0,0.1,0.1,1.0,0.4,LIME,-
2023-08-02,325020,케모멘,6,11637.0,14.75,LIME,2,KOSPI,1.0,0.08,0.08,1.0,0.4,LIME,-
